名称	ID	道具图标-命名格式	额外贴图（若有）	命名格式
工具
采集工具
老旧镐	old_pickaxe	icon_item_old_pickaxe
铜镐	copper_pickaxe	icon_item_copper_pickaxe
铁镐	iron_pickaxe	icon_item_iron_pickaxe
钢镐	steel_pickaxe	icon_item_steel_pickaxe
老旧斧头	old_axe	icon_item_old_axe
铜斧头	copper_axe	icon_item_copper_axe
铁斧头	iron_axe	icon_item_iron_axe
钢斧头	steel_axe	icon_item_steel_axe
老旧镰刀	old_sickle	icon_item_old_sickle
铜镰刀	copper_sickle	icon_item_copper_sickle
铁镰刀	iron_sickle	icon_item_iron_sickle
钢镰刀	steel_sickle	icon_item_steel_sickle
水壶
老旧水壶	old_watercan	icon_item_old_watercan
铜水壶	copper_watercan	icon_item_copper_watercan
铁水壶	iron_watercan	icon_item_iron_watercan
钢水壶	steel_watercan	icon_item_steel_watercan
鱼竿
简易鱼竿	simple_fishrod	icon_item_simple_fishrod
老旧鱼竿	old_fishrod	icon_item_old_fishrod
竹鱼竿	bamboo_fishrod	icon_item_bamboo_fishrod
玻璃纤维鱼竿	glass_fishrod	icon_item_glass_fishrod
碳纤维鱼竿	carbon_fishrod	icon_item_carbon_fishrod
农用喷枪
农用喷枪	farming_gun	icon_item_farming_gun
装备
无人机
废弃无人机	structure0	icon_item_structure0
破旧的无人机	drone_structure_old	icon_item_drone_structure_old
墨翟的手工无人机	drone_structure_modi_simple	icon_item_drone_structure_modi_simple
多洛可警用无人机	drone_structure_doloc	icon_item_drone_structure_doloc
